Country,Total_Cases,New_Cases,Total_Death,New_Deaths,Total_Recov,Active_Cases,Serious,Tot_Cases_1M,Tot_Deaths_1M
USA,215215,212,5110,8,8878,201227,5005,650,15
Italy,110574,,13155,,16847,80572,4035,1829,218
Spain,104118,,9387,,22647,72084,5872,2227,201
China,81554,,3312,,76238,2004,466,57,2
Germany,77981,,931,,18700,58350,3408,931,11
France,56989,,4032,,10935,42022,6017,873,62
Iran,47593,,3036,,15473,29084,3871,567,36
UK,29474,,2352,,135,26987,163,434,35
Switzerland,17768,,488,,2967,14313,348,2053,56
Turkey,15679,,277,,333,15069,979,186,3
Belgium,13964,,828,,2132,11004,1088,1205,71
Netherlands,13614,,1173,,250,12191,1053,795,68
Austria,10711,,146,,1436,9129,215,1189,16
S. Korea,9976,89,169,4,5828,3979,55,195,3
Canada,9731,,129,15,1736,7866,120,258,3
Portugal,8251,,187,,43,8021,230,809,18
Brazil,6931,51,244,2,127,6560,296,33,1
Israel,6092,,26,,241,5825,95,704,3
Australia,5105,57,23,,345,4737,50,200,1
Sweden,4947,,239,,103,4605,393,490,24
Norway,4877,,44,,13,4820,105,900,8
Czechia,3589,,39,,61,3489,70,335,4
Ireland,3447,,85,,5,3357,103,698,17
Denmark,3107,,104,,894,2109,145,536,18
Chile,3031,,16,,234,2781,31,159,1
Malaysia,2908,,45,,645,2218,102,90,1
Russia,2777,,24,,190,2563,8,19,0
Ecuador,2758,,98,,58,2602,100,156,6
Poland,2554,,43,,56,2455,50,67,1
Romania,2460,,92,,252,2116,57,128,5
Japan,2384,,57,,472,1855,69,19,1
Luxembourg,2319,,29,,80,2210,31,3705,46
Philippines,2311,,96,,50,2165,1,21,1
Pakistan,2118,,27,,94,1997,12,10,0
India,1998,,58,,148,1792,,1,0
Thailand,1771,,12,,505,1254,23,25,0
Saudi Arabia,1720,,16,,264,1440,31,49,1
Indonesia,1677,,157,,103,1417,,6,1
Finland,1446,,17,,10,1419,62,261,3
Greece,1415,,51,,52,1312,90,136,5
South Africa,1380,,5,,50,1325,7,23,0
Mexico,1378,163,37,8,35,1306,1,11,0
Peru,1323,,47,9,394,882,49,40,1
Panama,1317,,32,,9,1276,50,305,7
Dominican Republic,1284,,57,,9,1218,,118,5
Iceland,1220,,2,,236,982,12,3575,6
Argentina,1133,,33,1,248,852,,25,1
Colombia,1065,,17,,39,1009,47,21,0
Serbia,1060,,28,,42,990,62,121,3
Singapore,1000,,4,1,245,751,24,171,1
Croatia,963,,6,,73,884,34,235,1
Algeria,847,,58,,61,728,,19,1
Slovenia,841,,15,,10,816,31,405,7
Qatar,835,,2,,71,762,37,290,1
UAE,814,,8,,61,745,2,82,1
New Zealand,797,89,1,,92,704,2,165,0
Ukraine,794,,20,,13,761,,18,1
Egypt,779,,52,,179,548,,8,1
Estonia,779,,5,,33,741,15,587,4
Hong Kong,766,,4,,147,615,5,102,1
Iraq,728,,52,,182,494,,18,1
Diamond Princess,712,,11,,619,82,15,,
Morocco,654,,39,,29,586,1,18,1
Lithuania,581,,8,,7,566,11,213,3
Armenia,571,,4,,31,536,30,193,1
Bahrain,569,,4,,337,228,3,334,2
Hungary,525,,20,,40,465,17,54,2
Lebanon,479,,14,,43,422,5,70,2
Bosnia and Herzegovina,459,,13,,19,427,1,140,4
Latvia,446,,,,1,445,3,236,
Tunisia,423,,12,,5,406,10,36,1
Moldova,423,,5,,23,395,44,105,1
Bulgaria,422,,10,,20,392,18,61,1
Kazakhstan,402,22,3,,26,373,6,21,0
Slovakia,400,,1,,3,396,1,73,0
Andorra,390,,14,,10,366,12,5048,181
Costa Rica,375,,2,,4,369,9,74,0
Azerbaijan,359,,5,,26,328,7,35,1
North Macedonia,354,,11,,17,326,4,170,5
Uruguay,350,,2,,62,286,15,101,1
Taiwan,329,,5,,45,279,,14,0
Cyprus,320,,9,,28,283,11,265,7
Kuwait,317,,,,80,237,14,74,
Burkina Faso,282,,16,,46,220,,13,1
R�union,281,,,,40,241,3,314,
Jordan,278,,5,,36,237,5,27,1
Albania,259,,15,,67,177,7,90,5
Afghanistan,237,,4,,5,228,,6,0
San Marino,236,,28,,13,195,16,6955,825
Cameroon,233,,6,,10,217,,9,0
Vietnam,222,4,,,63,159,3,2,
Honduras,219,47,14,4,3,202,4,22,1
Cuba,212,,6,,12,194,3,19,1
Oman,210,,1,,34,175,3,41,0
Ghana,195,,5,,31,159,1,6,0
Ivory Coast,190,,1,,9,180,,7,0
Senegal,190,,1,,45,144,,11,0
Malta,188,,,,2,186,2,426,
Uzbekistan,181,,2,,12,167,8,5,0
Nigeria,174,,2,,9,163,,1,0
Faeroe Islands,173,,,,75,98,1,3541,
Channel Islands,172,,3,,,169,,989,17
Belarus,163,,2,,53,108,2,17,0
Mauritius,161,,6,,,155,1,127,5
Sri Lanka,146,,3,,21,122,5,7,0
Venezuela,144,,3,,43,98,6,5,0
Martinique,135,,3,,27,105,16,360,8
Palestine,134,,1,,18,115,,26,0
Brunei,131,,1,,52,78,3,299,2
Guadeloupe,125,,6,,24,95,14,312,15
Montenegro,123,,2,,,121,4,196,3
Georgia,117,,,,23,94,6,29,
Bolivia,115,,7,,1,107,3,10,1
Kyrgyzstan,111,,,,3,108,3,17,
Cambodia,110,1,,,34,76,1,7,
DRC,109,,9,,3,97,,1,0
Mayotte,101,,1,,10,90,3,370,4
Trinidad and Tobago,90,,5,,1,84,,64,4
Rwanda,82,,,,,82,,6,
Kenya,81,,1,,3,77,2,2,0
Gibraltar,81,,,,34,47,,2404,
Paraguay,77,8,3,,2,72,4,11,0
Niger,74,,5,,,69,,3,0
Liechtenstein,72,,,,,72,,1888,
Isle of Man,68,,1,,,67,,800,12
Madagascar,57,,,,,57,6,2,
Monaco,55,,1,,2,52,2,1402,25
Aruba,55,,,,1,54,,515,
Bangladesh,54,,6,,25,23,1,0,0
French Guiana,51,,,,15,36,,171,
Guatemala,46,7,1,,12,33,1,3,0
Barbados,45,,,,,45,,157,
Jamaica,44,,3,,2,39,,15,1
Uganda,44,,,,,44,,1,
El Salvador,41,8,2,,,39,4,6,0
Macao,41,,,,10,31,,63,
French Polynesia,37,,,,,37,1,132,
Togo,36,,2,,10,24,,4,0
Zambia,36,,,,,36,,2,
Djibouti,33,,,,,33,,33,
Bermuda,32,,,,10,22,,514,
Mali,31,,3,,,28,,2,0
Guinea,30,,,,,30,,2,
Ethiopia,29,,,,2,27,2,0,
Congo,22,,2,,,20,,4,0
Cayman Islands,22,,1,,,21,,335,15
Saint Martin,22,,1,,2,19,,569,26
Bahamas,21,,1,,1,19,,53,3
Tanzania,20,,1,,1,18,,0,0
Guyana,19,,4,1,,15,,24,5
Maldives,19,,,,13,6,,35,
Gabon,18,,1,,,17,,8,0
Myanmar,16,,1,,,15,,0,0
Sint Maarten,16,,1,,6,9,,373,23
Haiti,16,,,,1,15,,1,
New Caledonia,16,,,,1,15,,56,
Equatorial Guinea,15,,,,1,14,,11,
Eritrea,15,,,,,15,,4,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,2,12,,6,
Benin,13,,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Cura�ao,11,,1,,3,7,,67,6
Syria,10,,2,,,8,,1,0
Greenland,10,,,,2,8,,176,
Grenada,10,1,,,,10,,89,
Laos,10,,,,,10,,1,
Libya,10,,,,,10,,1,
Mozambique,10,,,,,10,,0,
Seychelles,10,,,,,10,,102,
Suriname,10,,,,,10,,17,
MS Zaandam,9,,2,,,7,,,
Guinea-Bissau,9,,,,,9,,5,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0,0
Zimbabwe,8,,1,,,7,,1,0
Saint Kitts and Nevis,8,,,,,8,,150,
Sudan,7,,2,,2,3,,0,0
Antigua and Barbuda,7,,,,,7,,71,
Chad,7,,,,,7,,0,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0
Vatican City,6,,,,,6,,7491,
Liberia,6,,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Turks and Caicos,6,,,,,6,,155,
Nicaragua,5,,1,,,4,,1,0
Nepal,5,,,,1,4,,0,
Bhutan,5,1,,,1,4,,6,
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,,,,1,4,,0,
Botswana,4,,1,,,3,,2,0
Gambia,4,,1,,2,1,,2,0
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
CAR,3,,,,,3,,1,
Anguilla,2,,,,,2,,133,
Burundi,2,,,,,2,,0,
Caribbean Netherlands,2,,,,,2,,76,
St. Vincent Grenadines,2,,,,1,1,,18,
Sierra Leone,2,,,,,2,,0,
Papua New Guinea,1,,,,,1,,0,
Timor-Leste,1,,,,,1,,1,
