Country,Total_Cases,New_Cases,Total_Death,New_Deaths,Total_Recov,Active_Cases,Serious,Tot_Cases_1M,Tot_Deaths_1M
China,81285,67,3287,6,74051,3947,1235,56,2
Italy,74386,,7503,,9362,57521,3489,1230,124
USA,68367,156,1029,2,394,66944,1452,207,3
Spain,49515,,3647,,5367,40501,3166,1059,78
Germany,37323,,206,,3547,33570,23,445,2
Iran,27017,,2077,,9625,15315,,322,25
France,25233,,1331,,3900,20002,2827,387,20
Switzerland,10897,,153,,131,10613,141,1259,18
UK,9529,,465,,135,8929,163,140,7
S. Korea,9241,104,131,5,4144,4966,59,180,3
Netherlands,6412,,356,,3,6053,582,374,21
Austria,5588,,31,,9,5548,28,620,3
Belgium,4937,,178,,547,4212,474,426,15
Canada,3409,,36,,185,3188,1,90,1
Norway,3084,,14,,6,3064,57,569,3
Portugal,2995,,43,,22,2930,61,294,4
Australia,2676,,11,,118,2547,11,105,0
Brazil,2554,,59,,2,2493,18,12,0
Sweden,2526,,62,,16,2448,158,250,6
Turkey,2433,,59,,26,2348,136,29,1
Israel,2369,,5,,58,2306,37,274,1
Malaysia,1796,,20,,199,1577,64,55,1
Denmark,1724,,34,,1,1689,87,298,6
Czechia,1654,,6,,10,1638,19,154,1
Ireland,1564,,9,,5,1550,39,317,2
Luxembourg,1333,,8,,6,1319,3,2129,13
Japan,1307,,45,,310,952,57,10,0
Ecuador,1211,,29,,3,1179,2,69,2
Chile,1142,,3,,22,1117,7,60,0
Pakistan,1063,,8,,21,1034,5,5,0
Poland,1051,,14,,7,1030,3,28,0
Thailand,934,,4,,70,860,11,13,0
Romania,906,,17,,86,803,18,47,1
Saudi Arabia,900,,2,,29,869,,26,0
Finland,880,,3,,10,867,22,159,1
Greece,821,,22,,36,763,53,79,2
Indonesia,790,,58,,31,701,,3,0
Iceland,737,,2,,56,679,11,2160,6
Diamond Princess,712,,10,,597,105,15,,
South Africa,709,,,,12,697,2,12,
Russia,658,,3,,29,626,8,5,0
India,657,,12,,43,602,,1,0
Philippines,636,,38,,26,572,1,6,0
Singapore,631,,2,,160,469,17,108,0
Panama,558,,8,,2,548,20,129,2
Qatar,537,,,,41,496,6,186,
Slovenia,528,,5,,10,513,14,254,2
Argentina,502,,8,,52,442,,11,0
Peru,480,,9,,1,470,9,15,0
Colombia,470,,4,,8,458,,9,0
Egypt,456,,21,,95,340,,4,0
Croatia,442,,1,,22,419,6,108,0
Bahrain,419,,4,,177,238,2,246,2
Hong Kong,411,,4,,102,305,4,55,1
Mexico,405,,5,,4,396,1,3,0
Estonia,404,,1,,8,395,6,305,1
Dominican Republic,392,,10,,3,379,,36,1
Serbia,384,,4,,15,365,21,44,1
Iraq,346,,29,,103,214,,9,1
Lebanon,333,,6,,20,307,4,49,1
UAE,333,,2,,52,279,2,34,0
Algeria,302,,21,,65,216,,7,1
New Zealand,283,,,,27,256,,59,
Lithuania,274,,4,,1,269,1,101,1
Armenia,265,,,,16,249,6,89,
Bulgaria,242,,3,,4,235,8,35,0
Taiwan,235,,2,,29,204,,10,0
Hungary,226,,10,,21,195,6,23,1
Morocco,225,,6,,7,212,1,6,0
Latvia,221,,,,1,220,,117,
Uruguay,217,,,,,217,3,62,
Slovakia,216,,,,7,209,2,40,
San Marino,208,,21,,4,183,12,6130,619
Costa Rica,201,,2,,2,197,4,39,0
Kuwait,195,,,,43,152,6,46,
Andorra,188,,1,,1,186,6,2433,13
North Macedonia,177,,3,,1,173,1,85,1
Bosnia and Herzegovina,176,,3,,2,171,1,54,1
Tunisia,173,,5,,2,166,11,15,0
Jordan,172,,,,1,171,,17,
Moldova,149,,1,,2,146,20,37,0
Vietnam,148,,,,17,131,3,2,
Albania,146,,5,,17,124,3,51,2
Burkina Faso,146,,4,,10,132,,7,0
Ukraine,145,,5,,1,139,,3,0
Cyprus,132,,3,,3,126,3,109,2
Faeroe Islands,132,,,,38,94,2,2701,
Malta,129,,,,2,127,1,292,
Réunion,111,,,,1,110,,124,
Brunei,109,,,,2,107,1,249,
Venezuela,106,,,,15,91,2,4,
Sri Lanka,102,,,,3,99,2,5,
Oman,99,,,,17,82,,19,
Senegal,99,,,,9,90,,6,
Cambodia,96,,,,10,86,1,6,
Azerbaijan,93,,2,,10,81,6,9,0
Belarus,86,,,,29,57,2,9,
Afghanistan,84,,2,,2,80,,2,0
Kazakhstan,81,,,,,81,,4,
Ivory Coast,80,,,,3,77,,3,
Cameroon,75,,1,,2,72,,3,0
Georgia,75,,,,10,65,1,19,
Guadeloupe,73,,1,,,72,4,182,2
Palestine,71,,1,,16,54,,14,0
Ghana,68,,4,,,64,,2,0
Martinique,66,,1,,,65,7,176,3
Trinidad and Tobago,60,,1,,,59,,43,1
Uzbekistan,60,,,,,60,4,2,
Cuba,57,,1,,1,55,2,5,0
Montenegro,53,,1,,,52,1,84,2
Honduras,52,,,,,52,,5,
Nigeria,51,,1,,2,48,,0,0
Liechtenstein,51,,,,,51,,1338,
DRC,48,,2,,,46,,1,0
Mauritius,48,,2,,,46,1,38,2
Channel Islands,46,,,,,46,,265,
Kyrgyzstan,44,,,,,44,,7,
Rwanda,41,,,,,41,,3,
Bangladesh,39,,5,,7,27,,0,0
Bolivia,38,6,,,,38,,3,
Paraguay,37,,3,,,34,1,5,0
Mayotte,36,,,,,36,,132,
Monaco,31,,,,1,30,,790,
Macao,30,,,,10,20,,46,
French Guiana,28,,,,6,22,,94,
Kenya,28,,,,1,27,,1,
Jamaica,26,,1,,2,23,,9,0
Gibraltar,26,,,,5,21,,772,
French Polynesia,25,,,,,25,,89,
Guatemala,24,,1,,4,19,,1,0
Isle of Man,23,,,,,23,,270,
Togo,23,,,,1,22,,3,
Aruba,19,,,,1,18,,178,
Madagascar,19,,,,,19,,1,
Barbados,18,,,,,18,,63,
New Caledonia,14,,,,,14,,49,
Uganda,14,,,,,14,,0,
El Salvador,13,4,,,,13,,2,
Maldives,13,,,,8,5,,24,
Tanzania,13,,,,,13,,0,
Ethiopia,12,,,,,12,,0,
Zambia,12,,,,,12,,1,
Djibouti,11,,,,,11,,11,
Dominica,11,,,,,11,,153,
Saint Martin,11,,,,,11,,284,
Mongolia,10,,,,,10,,3,
Equatorial Guinea,9,,,,,9,,6,
Cayman Islands,8,,1,,,7,,122,15
Haiti,8,,,,,8,,1,
Suriname,8,,,,,8,,14,
Niger,7,,1,,,6,,0,0
Bermuda,7,,,,,7,,112,
Namibia,7,,,,2,5,,3,
Seychelles,7,,,,,7,,71,
Curaçao,6,,1,,2,3,,37,6
Gabon,6,,1,,,5,,3,0
Benin,6,,,,,6,,1,
Greenland,6,,,,2,4,,106,
Guyana,5,,1,,,4,,6,1
Bahamas,5,,,,1,4,,13,
Fiji,5,,,,,5,,6,
Mozambique,5,,,,,5,,0,
Syria,5,,,,,5,,0,
Cabo Verde,4,,1,,,3,,7,2
Congo,4,,,,,4,,1,
Eritrea,4,,,,,4,,1,
Guinea,4,,,,,4,,0,
Vatican City,4,,,,,4,,4994,
Eswatini,4,,,,,4,,3,
Gambia,3,,1,,,2,,1,0
Sudan,3,,1,,,2,,0,0
Zimbabwe,3,,1,,,2,,0,0
Nepal,3,,,,1,2,,0,
Angola,3,,,,,3,,0,
Antigua and Barbuda,3,,,,,3,,31,
CAR,3,,,,,3,,1,
Chad,3,,,,,3,,0,
Laos,3,,,,,3,,0,
Liberia,3,,,,,3,,1,
Myanmar,3,,,,,3,,0,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,,3,,16,
Sint Maarten,3,,,,,3,,70,
Belize,2,,,,,2,,5,
Bhutan,2,,,,,2,,3,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Mali,2,,,,,2,,0,
Mauritania,2,,,,,2,,0,
Nicaragua,2,,,,,2,,0,
Saint Kitts and Nevis,2,,,,,2,,38,
Grenada,1,,,,,1,,9,
Libya,1,,,,,1,,0,
Montserrat,1,,,,,1,,200,
Papua New Guinea,1,,,,,1,,0,
St. Vincent Grenadines,1,,,,,1,,9,
Somalia,1,,,,,1,,0,
Timor-Leste,1,,,,,1,,1,
